disease_id,disease_key,disease_name,category,training_records,dataset_top_symptoms,self_care_level,safe_self_care_draft,avoid_or_caution,when_to_seek_medical_care,general_emergency_warning_signs,medlineplus_lookup_url,nhs_lookup_url,review_status,validation_note
83,sebaceous_cyst,Sebaceous Cyst,Skin / dermatologic,821,skin moles (63%); skin growth (53%); hand or finger lump or mass (52%); neck mass (52%); irregular appearing scalp (51%); abnormal appearing skin (50%); back mass or lump (50%); acne or pimples (50%),Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=sebaceous+cyst,https://www.nhs.uk/search/results/?q=sebaceous+cyst,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
84,sepsis,Sepsis,Systemic / metabolic,824,shortness of breath (63%); fever (53%); feeling ill (52%); vomiting (51%); cough (51%); sharp abdominal pain (51%); difficulty breathing (50%); weakness (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=sepsis,https://www.nhs.uk/search/results/?q=sepsis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
85,sickle_cell_crisis,Sickle Cell Crisis,Systemic / metabolic,808,vomiting (64%); arm pain (54%); leg pain (51%); sharp abdominal pain (51%); knee pain (50%); back pain (50%); burning abdominal pain (50%); ache all over (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=sickle+cell+crisis,https://www.nhs.uk/search/results/?q=sickle+cell+crisis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
86,sinus_bradycardia,Sinus Bradycardia,Cardiovascular,814,chest tightness (64%); irregular heartbeat (53%); fainting (53%); decreased heart rate (51%); increased heart rate (51%); shortness of breath (51%); dizziness (50%); sharp chest pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=sinus+bradycardia,https://www.nhs.uk/search/results/?q=sinus+bradycardia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
87,skin_pigmentation_disorder,Skin Pigmentation Disorder,Skin / dermatologic,805,"irregular appearing scalp (65%); warts (55%); skin growth (53%); skin moles (52%); skin dryness, peeling, scaliness, or roughness (51%); acne or pimples (50%); skin swelling (50%); itching of skin (50%)",Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=skin+pigmentation+disorder,https://www.nhs.uk/search/results/?q=skin+pigmentation+disorder,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
88,skin_polyp,Skin Polyp,Skin / dermatologic,807,"skin swelling (63%); skin moles (55%); warts (53%); irregular appearing scalp (52%); acne or pimples (51%); abnormal appearing skin (51%); skin growth (51%); skin dryness, peeling, scaliness, or roughness (50%)",Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=skin+polyp,https://www.nhs.uk/search/results/?q=skin+polyp,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
89,spinal_stenosis,Spinal Stenosis,Musculoskeletal / neurologic,1207,back pain (52%); neck pain (51%); problems with movement (51%); arm pain (51%); lower body pain (51%); hip pain (51%); low back pain (51%); paresthesia (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=spinal+stenosis,https://www.nhs.uk/search/results/?q=spinal+stenosis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
90,spondylosis,Spondylosis,Musculoskeletal / neurologic,1216,neck pain (52%); low back pain (52%); ache all over (52%); back pain (51%); arm pain (51%); loss of sensation (51%); hip pain (50%); lower body pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=spondylosis,https://www.nhs.uk/search/results/?q=spondylosis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
91,spontaneous_abortion,Spontaneous Abortion,Urinary / reproductive / pregnancy,1212,burning abdominal pain (52%); uterine contractions (52%); pain during pregnancy (51%); pelvic pain (51%); heavy menstrual flow (50%); intermenstrual bleeding (50%); lower abdominal pain (50%); spotting or bleeding during pregnancy (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Avoid aspirin or anti-inflammatory medicines unless specifically instructed.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=spontaneous+abortion,https://www.nhs.uk/search/results/?q=spontaneous+abortion,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
92,sprain_or_strain,Sprain Or Strain,Musculoskeletal / neurologic,1212,back pain (52%); arm pain (51%); wrist pain (51%); foot or toe pain (51%); low back pain (51%); shoulder pain (50%); headache (50%); neck pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=sprain+or+strain,https://www.nhs.uk/search/results/?q=sprain+or+strain,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
93,strep_throat,Strep Throat,Other clinical condition,1210,vomiting (53%); headache (52%); ear pain (52%); skin rash (52%); decreased appetite (51%); chills (51%); ache all over (50%); nasal congestion (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=strep+throat,https://www.nhs.uk/search/results/?q=strep+throat,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
94,stye,Stye,Skin / dermatologic,832,skin swelling (62%); eyelid lesion or rash (54%); swollen eye (53%); eyelid swelling (51%); mass on eyelid (51%); itchiness of eye (51%); symptoms of eye (51%); pain in eye (50%),Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=stye,https://www.nhs.uk/search/results/?q=stye,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
95,temporary_or_benign_blood_in_urine,Temporary Or Benign Blood In Urine,Urinary / reproductive / pregnancy,803,painful urination (65%); suprapubic pain (52%); back pain (52%); frequent urination (52%); involuntary urination (51%); blood in urine (51%); lower abdominal pain (51%); regurgitation (51%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=temporary+or+benign+blood+in+urine,https://www.nhs.uk/search/results/?q=temporary+or+benign+blood+in+urine,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
96,threatened_pregnancy,Threatened Pregnancy,Urinary / reproductive / pregnancy,818,sharp abdominal pain (63%); cramps and spasms (53%); lower abdominal pain (52%); problems during pregnancy (51%); pelvic pain (51%); intermenstrual bleeding (50%); back pain (50%); spotting or bleeding during pregnancy (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist. Avoid aspirin or anti-inflammatory medicines unless specifically instructed.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=threatened+pregnancy,https://www.nhs.uk/search/results/?q=threatened+pregnancy,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
97,urinary_tract_infection,Urinary Tract Infection,Urinary / reproductive / pregnancy,815,suprapubic pain (63%); painful urination (54%); side pain (52%); blood in urine (52%); back pain (51%); frequent urination (51%); vomiting (51%); lower abdominal pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=urinary+tract+infection,https://www.nhs.uk/search/results/?q=urinary+tract+infection,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
98,vaginal_cyst,Vaginal Cyst,Urinary / reproductive / pregnancy,1215,heavy menstrual flow (52%); pelvic pain (52%); lower abdominal pain (51%); intermenstrual bleeding (51%); pain during pregnancy (51%); vaginal pain (50%); cramps and spasms (50%); blood clots during menstrual periods (50%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=vaginal+cyst,https://www.nhs.uk/search/results/?q=vaginal+cyst,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
99,vaginitis,Vaginitis,Urinary / reproductive / pregnancy,821,pain during intercourse (63%); lower abdominal pain (54%); vaginal pain (53%); vaginal discharge (53%); pelvic pain (51%); suprapubic pain (51%); painful urination (51%); sharp abdominal pain (51%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=vaginitis,https://www.nhs.uk/search/results/?q=vaginitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
100,vulvodynia,Vulvodynia,Urinary / reproductive / pregnancy,1218,back pain (52%); vaginal discharge (51%); lower abdominal pain (51%); nausea (50%); pelvic pain (50%); pain during pregnancy (50%); painful urination (50%); side pain (49%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=vulvodynia,https://www.nhs.uk/search/results/?q=vulvodynia,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
